datetime,zone1,zone2,zone3,zone4
2020-12-28 10:00:23,2,0,0,4
2020-12-28 10:01:59,2,0,0,4
2020-12-28 10:03:30,4,0,0,2
2020-12-28 10:05:06,2,2,0,2
2020-12-28 10:06:36,2,0,0,5
2020-12-28 10:08:05,2,0,0,5
2020-12-28 10:09:36,2,0,0,3
2020-12-28 10:11:04,2,0,0,3
2020-12-28 10:12:37,3,0,0,2
2020-12-28 10:14:12,2,0,0,2
2020-12-28 10:15:44,2,2,0,6
2020-12-28 10:17:15,2,0,0,2
2020-12-28 10:18:45,2,0,0,2
2020-12-28 10:21:47,2,0,0,3
2020-12-28 10:23:20,2,0,0,2
2020-12-28 10:24:49,0,0,0,5
2020-12-28 10:26:18,2,0,0,2
2020-12-28 10:27:48,2,0,0,2
2020-12-28 10:29:19,2,0,0,2
2020-12-28 10:30:47,2,0,0,4
2020-12-28 10:32:19,2,0,0,4
2020-12-28 10:33:49,2,0,0,4
2020-12-28 10:35:19,2,0,0,2
2020-12-28 10:36:47,2,0,0,2
2020-12-28 10:38:15,2,0,0,4
2020-12-28 10:39:44,3,0,0,2
2020-12-28 10:41:14,3,0,0,4
2020-12-28 10:42:44,2,0,2,2
2020-12-28 10:44:12,3,0,0,4
2020-12-28 10:45:42,3,0,0,4
2020-12-28 10:47:10,2,0,2,6
2020-12-28 10:48:40,0,0,0,7
2020-12-28 10:50:11,2,0,0,4
2020-12-28 10:51:40,2,2,0,5
2020-12-28 10:53:08,2,0,0,5
2020-12-28 10:54:39,2,0,0,5
2020-12-28 10:56:08,2,0,2,4
2020-12-28 10:57:39,2,0,2,0
2020-12-28 10:59:07,2,0,0,4
2020-12-28 11:00:34,2,0,0,3
2020-12-28 11:02:02,2,0,0,4
2020-12-28 11:03:32,2,0,0,4
2020-12-28 11:05:06,2,0,0,4
2020-12-28 11:08:06,2,0,0,4
2020-12-28 11:09:40,2,0,0,4
2020-12-28 11:14:08,2,0,0,2
2020-12-28 11:15:38,2,0,0,4
2020-12-28 11:17:10,2,0,0,4
2020-12-28 11:20:10,0,0,0,4
2020-12-28 11:21:41,0,0,0,4
2020-12-28 11:23:22,0,0,0,4
2020-12-28 11:26:16,0,0,0,4
2020-12-28 11:27:47,0,0,0,5
2020-12-28 11:29:16,0,0,0,6
2020-12-28 11:30:44,0,0,0,4
2020-12-28 20:48:50,0,0,0,3
2020-12-28 20:59:32,0,0,0,5
2020-12-28 21:01:38,0,0,0,6
2020-12-28 21:03:08,0,0,0,4
2020-12-28 21:04:37,0,0,0,7
2020-12-28 21:06:12,0,0,0,6
2020-12-28 21:07:44,0,0,0,5
2020-12-28 21:09:20,0,0,0,6
2020-12-28 21:14:52,0,0,0,9
2020-12-28 21:16:38,0,0,0,5
2020-12-29 13:50:01,0,0,0,5
2020-12-29 13:54:43,0,2,0,8
2020-12-29 13:56:30,2,2,2,8
2020-12-29 14:06:00,0,4,0,5
2020-12-29 14:07:28,0,3,0,5
2020-12-29 14:08:58,0,0,0,4
2020-12-29 14:10:29,0,2,0,2
2020-12-29 14:13:27,0,0,0,4
2020-12-29 14:15:03,0,0,0,3
2020-12-29 14:18:13,0,2,0,5
2020-12-29 14:19:46,0,0,0,7
2020-12-29 14:21:15,0,0,0,10
2020-12-29 14:23:27,0,0,0,5
2020-12-29 14:24:57,2,0,0,6
2020-12-29 14:26:34,0,0,0,2
2020-12-29 14:39:15,0,0,0,6
2020-12-29 14:41:13,0,0,0,6
2020-12-29 14:42:54,0,0,0,5
2020-12-29 14:44:22,0,0,0,2
2020-12-29 14:45:52,0,0,0,6
2020-12-29 14:47:21,0,2,0,3
2020-12-29 14:48:51,0,0,0,2
2020-12-29 14:32:55,0,0,0,7
2020-12-29 14:50:28,0,0,0,3
2020-12-29 14:51:58,0,0,0,7
2020-12-29 14:53:27,0,0,0,6
2020-12-29 14:55:14,0,0,0,3
2020-12-29 14:56:48,0,0,0,5
2020-12-29 14:58:24,0,0,0,3
2020-12-29 14:59:53,0,0,0,4
2020-12-29 15:01:22,0,2,0,7
2020-12-29 15:02:51,0,0,0,7
2020-12-29 15:04:22,0,2,0,4
2020-12-29 15:05:51,0,0,0,4
2020-12-29 15:07:20,0,0,0,6
2020-12-29 15:08:48,0,0,0,6
2020-12-29 15:10:18,0,0,0,6
2020-12-29 15:11:49,0,0,0,7
2020-12-29 15:13:20,0,0,0,3
2020-12-29 15:14:52,0,0,0,7
2020-12-29 15:16:21,0,0,0,4
2020-12-29 15:17:49,0,2,0,4
2020-12-29 15:19:23,0,2,0,7
2020-12-29 15:20:52,0,2,0,7
2020-12-29 15:22:19,0,0,0,5
2020-12-29 15:23:47,0,2,0,5
2020-12-29 15:25:15,0,2,0,6
2020-12-29 15:26:44,0,0,0,4
2020-12-29 15:28:15,0,0,0,4
2020-12-29 15:29:44,0,2,0,3
2020-12-29 15:31:13,0,0,0,3
2020-12-29 15:32:42,0,0,0,5
2020-12-29 15:34:13,0,2,0,7
2020-12-29 15:35:54,0,2,0,3
2020-12-29 15:37:24,0,0,0,4
2020-12-29 15:38:53,0,0,0,4
2020-12-29 15:40:21,0,2,0,2
2020-12-29 15:43:15,0,0,0,3
2020-12-29 15:44:43,0,2,0,6
